,url,title,rating,numOfRatings,popularity,numOfAwards,parentalRating,yearMade,genre,language,length,gross
3113,https://imdb.com/title/tt0119558,Lolita,6.9,55000,188,"[2, 4]",R,1997,"['Drama', 'Romance']",['English'],137,1071255
3114,https://imdb.com/title/tt0045758,Fear and Desire,5.4,11000,,"[0, 0]",Unrated,1953,"['Drama', 'Thriller', 'War']","['English', 'Spanish']",62,
3115,https://imdb.com/title/tt0048424,The Night of the Hunter,8,86000,3708,"[2, 0]",Unrated,1955,"['Crime', 'Drama', 'Film-Noir']",['English'],92,2001
3116,https://imdb.com/title/tt0052311,Touch of Evil,8,102000,,"[7, 0]",PG-13,1958,"['Crime', 'Drama', 'Film-Noir']","['English', 'Spanish']",95,2286947
3117,https://imdb.com/title/tt0045130,The Seafarers,5.3,2700,,,Unrated,1953,"['Documentary', 'Short']",['English'],29,
3118,https://imdb.com/title/tt0042384,Day of the Fight,6.3,4400,,,Other,1951,"['Documentary', 'Short', 'Sport']",['English'],16,
3119,https://imdb.com/title/tt0043548,Flying Padre,5.6,4100,,,Other,1951,"['Documentary', 'Short']",['English'],9,
3120,https://imdb.com/title/tt11720512,Bounty Law,,,4467,,Unrated,,"['Drama', 'Western']",,,
3121,https://imdb.com/title/tt0057565,High and Low,8.4,40000,,"[3, 3]",Unrated,1963,"['Crime', 'Drama', 'Mystery']",['Japanese'],143,46808
3122,https://imdb.com/title/tt0022100,M,8.3,151000,2815,"[2, 0]",Other,1931,"['Crime', 'Mystery', 'Thriller']",['German'],99,35566
3123,https://imdb.com/title/tt0056058,Hara-Kiri,8.6,49000,3008,"[8, 2]",Unrated,1962,"['Action', 'Drama', 'Mystery']",['Japanese'],133,15222
3124,https://imdb.com/title/tt0109034,Above Suspicion,6.8,1900,,,R,1995,"['Drama', 'Thriller']",['English'],95,
3125,https://imdb.com/title/tt0099188,Buried Alive,6.5,4300,4974,,PG-13,1990,"['Horror', 'Romance', 'Thriller']",['English'],93,
3126,https://imdb.com/title/tt0077936,Les Miserables,7.3,1700,,"[0, 2]",Unrated,1978,"['Drama', 'History']",['English'],150,
3127,https://imdb.com/title/tt0033021,Santa Fe Trail,6.3,3600,,,Unrated,1940,"['Adventure', 'Biography', 'Drama']",['English'],110,
3128,https://imdb.com/title/tt0178130,Cleopatra,6.5,4000,4897,"[0, 15]",Unrated,1999,"['Biography', 'Drama', 'Romance']",['English'],177,
